name,desc,price,img
Mercedes-Benz GLE AMG,"2016 г., 5.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 170 000 км",$ 75 000,https://im.mashina.kg/tachka/images//9/f/1/9f1fd99fd57a9fb9a50aa7afad6c532f_240x180.jpg
Nissan March,"2002 г., 1.2 л., автомат, хэтчбек 5 дв., бензин, руль справа, 80 750 км",$ 4 300,https://im.mashina.kg/tachka/images//e/0/8/e08fe750a9858e95e5943595f6e49bb3_240x180.jpg
Lexus GX,"2021 г., 4.6 л., автомат, внедорожник 5 дв., бензин, руль слева, 9 500 км",$ 100 000,https://im.mashina.kg/tachka/images//d/3/4/d340c45234043e36ac2a66dc55b650b2_240x180.jpg
Lexus LX,"2012 г., 5.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 137 000 км",$ 62 000,https://im.mashina.kg/tachka/images//f/b/e/fbe0d45ee43b48e7775e76bc822989a8_240x180.jpg
LiXiang One,"2022 г., 1.2 л., вариатор, внедорожник 5 дв., гибрид, руль слева",$ 52 000,https://im.mashina.kg/tachka/images//d/6/0/d60f6a1a825e8f76a55e55d3ab7e4331_240x180.jpg
Kia Mohave (Borrego),"2022 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 125 км",$ 64 500,https://im.mashina.kg/tachka/images//e/a/2/ea2868ecfde6bf0f2c2a728f5ed5bb10_240x180.jpg
Changan UNI-K,"2023 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 20 км",$ 34 000,https://im.mashina.kg/tachka/images//c/a/f/caff5d11adf9899feb56086cad5467de_240x180.jpg
Lexus ES,"2018 г., 3.5 л., автомат, седан, бензин, руль слева, 70 000 км",$ 39 500,https://im.mashina.kg/tachka/images//8/1/9/81960bca1d0e7e1246bba31591d2d79f_240x180.jpg
BMW 7 серии,"2001 г., 4.4 л., автомат, седан, бензин, руль слева, 80 000 км",$ 18 500,https://im.mashina.kg/tachka/images//7/f/4/7f4ad9b551d97f9d4d0935503ccac520_240x180.jpg
Land Rover Range Rover,"2023 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 33 км",$ 285 000,https://im.mashina.kg/tachka/images//4/a/6/4a60d306689d771dc602944fb8c5105f_240x180.jpg
Toyota Avalon,"2016 г., 2.5 л., вариатор, седан, гибрид, руль слева, 75 000 км",$ 23 000,https://im.mashina.kg/tachka/images//2/0/f/20fc11015ec782e46a976887e04b0779_240x180.jpg
Kia K5 II Седан,"2018 г., 2 л., автомат, седан, газ, руль слева, 175 000 км",$ 17 000,https://im.mashina.kg/tachka/images//8/d/2/8d2631becab2af2eda03d79d38009174_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 70 000 км",$ 26 300,https://im.mashina.kg/tachka/images//d/a/0/da08f2a4c63a69afa3eaf4d8a538a933_240x180.jpg
Hyundai Santa Fe,"2018 г., 2.2 л., автомат, внедорожник 5 дв., дизель, руль слева, 130 000 км",$ 28 500,https://im.mashina.kg/tachka/images//1/e/8/1e847b4095af6a558fe2ca84c61e0a82_240x180.jpg
Lexus LX,"2011 г., 5.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 200 047 км",$ 45 000,https://im.mashina.kg/tachka/images//b/5/a/b5a3943bb2705411d9ff89bbf8b67107_240x180.jpg
Infiniti FX,"2003 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 119 859 км",$ 10 000,https://im.mashina.kg/tachka/images//0/b/a/0ba44ba0d2d75e3eaf01c8a7e88e7654_240x180.jpg
Honda Civic,"2019 г., 2 л., вариатор, седан, бензин, руль слева, 102 000 км",$ 18 700,https://im.mashina.kg/tachka/images//6/3/e/63e17c685da7ae25fcebeda97a48a801_240x180.jpg
Volkswagen Passat,"2002 г., 1.9 л., механика, универсал, дизель, руль слева, 235 000 км",$ 6 300,https://im.mashina.kg/tachka/images//d/4/3/d435c7d72b8107ac3d6ed8fe2d3b9c51_240x180.jpg
Honda Pilot,"2017 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 98 900 км",$ 33 500,https://im.mashina.kg/tachka/images//3/d/2/3d2bcdce383168c33e163847e77de4aa_240x180.jpg
Toyota Camry,"2022 г., 2.5 л., автомат, седан, бензин, руль слева",$ 25 000,https://im.mashina.kg/tachka/images//a/c/9/ac963301063a97bf2f18ab2dd6281207_240x180.jpg
BMW X5 M,"2009 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 230 000 км",$ 17 500,https://im.mashina.kg/tachka/images//5/5/9/55989f5d3b1e9a684b0fa1186271ed9b_240x180.jpg
Kia K5 III Седан,"2019 г., 2 л., автомат, седан, бензин, руль слева, 48 000 км",$ 30 200,https://im.mashina.kg/tachka/images//d/d/8/dd802a31ce1eb576a6c25e5ebd6b7715_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 35 000 км",$ 32 700,https://im.mashina.kg/tachka/images//3/2/0/320733007980efc67c8362a559dedd2b_240x180.jpg
Lexus RX,"2020 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 19 000 км",$ 71 500,https://im.mashina.kg/tachka/images//5/e/e/5eee95f321182b2640c5705d57f795c6_240x180.jpg
Lexus GX,"2013 г., 4.6 л., автомат, внедорожник 5 дв., бензин, руль слева, 95 000 км",$ 35 000,https://im.mashina.kg/tachka/images//5/9/8/59814294a03cb3b351c3a8ffaa4e7889_240x180.jpg
Hyundai Tucson,"2016 г., 2 л., автомат, внедорожник 5 дв., дизель, руль слева, 123 000 км",$ 16 300,https://im.mashina.kg/tachka/images//9/7/2/97227e30752f5cf731160b51bb004b8a_240x180.jpg
Toyota RAV4,"2017 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 54 000 км",$ 20 500,https://im.mashina.kg/tachka/images//1/6/3/1634c68d4fbf507a3b1d61cabccb0326_240x180.jpg
Toyota Prius,"2006 г., 1.5 л., автомат, хэтчбек 5 дв., гибрид, руль слева, 217 000 км",$ 9 500,https://im.mashina.kg/tachka/images//4/b/5/4b5178e4b53b52b54515b72825b4504a_240x180.jpg
Lexus NX,"2017 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 77 000 км",$ 26 500,https://im.mashina.kg/tachka/images//d/c/7/dc77c5add38e0fa0566dd9e4def626eb_240x180.jpg
Genesis GV80,"2021 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 9 000 км",$ 60 000,https://im.mashina.kg/tachka/images//b/9/d/b9de6f2b5263e40fa931748ed30d020d_240x180.jpg
Kia K5 II Седан,"2016 г., 2 л., автомат, седан, газ, руль слева, 103 353 км",$ 13 700,https://im.mashina.kg/tachka/images//9/4/d/94d87c663f7d4586f5ba4b6ded7eba82_240x180.jpg
Kia Sportage,"2018 г., 2 л., автомат, внедорожник 5 дв., дизель, руль слева, 42 000 км",$ 21 000,https://im.mashina.kg/tachka/images//3/5/4/3545a6c8a15f380283809f7dbd7bba67_240x180.jpg
Mercedes-Benz S-класс,"2019 г., 3 л., автомат, седан, бензин, руль слева, 44 000 км",$ 73 000,https://im.mashina.kg/tachka/images//8/b/2/8b24f95eebc0e7c18d5b7c60bc95e6e8_240x180.jpg
Toyota 4Runner,"2003 г., 4 л., автомат, внедорожник 5 дв., бензин, руль слева, 235 000 км",$ 15 900,https://im.mashina.kg/tachka/images//2/7/f/27f5f3ebfd91f94694e361c6122c8c26_240x180.jpg
BMW 5 серии,"2017 г., 2 л., автомат, седан, бензин, руль слева, 90 000 км",$ 36 000,https://im.mashina.kg/tachka/images//4/3/c/43c468ff55a23c4b3761febaff03129d_240x180.jpg
Tesla Model S,"2016 г., автомат, лифтбек, электро, руль слева, 70 000 км",$ 49 000,https://im.mashina.kg/tachka/images//b/b/6/bb69d3aa5af12d5239c9752d0054e1be_240x180.jpg
Zeekr 001,"2023 г., автомат, лифтбек, электро, руль слева",$ 45 000,https://im.mashina.kg/tachka/images//0/a/a/0aa3260f6555b15a6774efb9543c8ec1_240x180.jpg
Toyota Prius,"2010 г., 1.8 л., автомат, хэтчбек 5 дв., гибрид, руль слева, 170 000 км",$ 11 800,https://im.mashina.kg/tachka/images//4/1/d/41d918c9853a24a3e56c0a9123ee3912_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 105 062 км",$ 26 700,https://im.mashina.kg/tachka/images//d/5/f/d5f0e0f2da42a05dfe50e78eb38f2ecb_240x180.jpg
Toyota RAV4,"2016 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 44 000 км",$ 23 800,https://im.mashina.kg/tachka/images//8/8/7/8872b5572da65544ffb3ec5eef563710_240x180.jpg
Toyota Land Cruiser Prado,"2022 г., 4 л., автомат, внедорожник 5 дв., бензин, руль слева, 16 200 км",$ 89 000,https://im.mashina.kg/tachka/images//8/0/7/807cee20c277fc80679d5b2709f2615d_240x180.jpg
